      HaloID      x[Mpc/h]     y[MPc/h]     z[MPc/h] m500c[Msol]    Avail[0/1]  Files_1 Files_2 Files_3 Files_4
           0      2510.22      906.386      30.6540  1.02815e+15       0        1833 0 0 0
           1      867.489      2430.06      2302.34  1.84959e+15       0        2987
           2      1585.69      1240.79      2615.87  1.34503e+15       0        2791
           3      2210.14      2363.40      1774.73  9.24634e+14       0        1548
           4      2108.18      438.287      1754.66  1.59805e+15       0        4058
           5      354.390      5.83894      1486.95  1.33707e+15       0        2150
           6      1663.94      1320.69      1324.78  1.64370e+15       0        5647
           7      1346.05      1566.15      1508.13  1.15032e+15       0           5        1720
           8      1976.41      1190.80      1053.27  1.63033e+15       0        4192
           9      1076.50      881.641      2507.65  7.35472e+14       0        4243
          10      288.263      118.606      1842.31  1.13735e+15       0        1408
          11      2218.19      2354.58      1765.92  1.65156e+15       0        1548        1750        2338
          12      1687.25      1371.24      279.888  7.94235e+14       0        4945
          13      641.760      1380.15      1285.47  1.69248e+15       0        2597
          14      415.664      2630.05      577.635  1.30530e+15       0        4999
          15      731.700      1652.25      746.169  8.54726e+14       0        4251
          16      2651.25      781.767      1580.47  1.07119e+15       0        2415
          17      1797.37      1569.38      1369.31  8.95899e+14       0        2279
          18      538.849      833.802      874.628  1.29002e+15       0        3083
          19      1754.75      2049.57      2013.03  1.02096e+15       0        3666
          20      1427.97      1197.33      2563.04  1.06995e+15       0        4037        4925
          21      635.141      506.694      2441.80  1.19626e+15       0        5248
          22      88.7418      588.808      2328.86  1.22410e+15       0        1554        2248
          23      1006.28      2325.24      598.244  1.48063e+15       0        2985        4856
          24      1994.58      1596.81      2673.17  1.32484e+15       0        3061        5273
          25      793.798      2513.53      202.610  1.12320e+15       0        1377
          26      1352.28      816.739      321.106  8.09582e+14       0        5095
          27      2536.06      1919.64      1814.65  1.49351e+15       0        5357
          28      1628.45      724.575      2646.38  1.03194e+15       0        5310
          29      2662.16      2195.07      1591.03  5.39303e+14       0        1415
          30      1605.66      76.8965      1553.52  1.21223e+15       0        5132
          31      2066.12      1891.29      942.427  5.17483e+14       0        2490        3817
          32      1666.30      1551.16      2649.54  1.29002e+15       0        5013
          33      1710.35      159.295      2228.84  1.39336e+15       0        3247        3668
          34      1641.44      1600.49      1471.47  6.79837e+14       0        1086
          35      996.241      981.424      2257.48  1.14574e+15       0        4397
          36      809.835      1817.79      2359.65  1.19828e+15       0        1052
          37      865.442      1487.34      1633.83  9.71272e+14       0        4241
          38      1493.22      1494.06      5.23630  1.31281e+15       0         733
          39      819.929      2322.06      474.014  1.02214e+15       0        2769
          40      2223.67      1683.31      936.820  1.30403e+15       0        5852
          41      1082.83      1198.48      1340.56  1.23013e+15       0        4645
